Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes,Due Date
Talk about Project Car Rental System,,Training Project,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
Maven build tool,,Build Tools,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
build the UML Diagram of the Project,https://drive.google.com/file/d/1CmrfsILrOAQLNmgugaH4JFNJBqGSfIIs/view?usp=drive_link,UML Diagram,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
"Spring Boot Course ",https://www.youtube.com/watch?v=194UZkgEcic&list=PLzhWJrmO-SPX9CwimKF2-l0e0dcLEiAI2,Spring Boot Course,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
Do the adjustments given by Trainer,,Training Tasks,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
Trainer Meeting,,Trainer Meeting,Yes,Yes,Done,Done,,"September 29, 2024 → October 3, 2024"
