Topic,References,Tag,Abdullah,Shahd,"Abdullah Status ",Shahd Status,Notes,Due Date
Disabling default endpoints,https://medium.com/@pratik.941/a-comprehensive-guide-to-spring-boot-actuator-c2bd63a32ede,"Advanced Spring Boot Concepts, Spring Boot Actuator",Yes,No,Not started,Not started,"A Comprehinsive Guide to Spring Boot Actuatort (Training%20Roadmap%20122f1472fabd80ad8769cfcfd7b068e1/A%20Comprehinsive%20Guide%20to%20Spring%20Boot%20Actuatort%20145f1472fabd80e69a28ce69f803e176.md) ","November 19, 2024 → November 24, 2024"
Basic Authentication,https://medium.com/javarevisited/spring-boot-securing-api-with-basic-authentication-bdd3ad2266f5,Spring Security,Yes,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
"disabling CSRF ",https://www.geeksforgeeks.org/spring-security-how-to-enable-and-disable-csrf/,Spring Security,Yes,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
stateless configuration,https://vaadin.com/docs/latest/hilla/guides/security/spring-stateless,Spring Security,No,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
"Spring Boot Version Access ",https://chatgpt.com/share/673ce2bd-f4f4-8001-a0c4-38d072634d21,Spring Boot Version Access,Yes,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
AuthenticationManager,https://medium.com/spring-framework/spring-security-authentication-process-explained-in-detailed-5bc0a424a746,Security Filters & Authentication,No,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
Filters,https://medium.com/@tanmaysaxena2904/spring-security-the-security-filter-chain-e09e1f53b73d,Security Filters & Authentication,No,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
SecurityContext,https://chatgpt.com/share/673ce385-66e8-8001-95ab-1c23ba4a4539,Security Filters & Authentication,No,No,Not started,Not started,,"November 19, 2024 → November 24, 2024"
